dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1796-01-01,19.649,2.286,Ahmadabad,India,23.31N,72.52E
1796-02-01,21.632,1.77,Ahmadabad,India,23.31N,72.52E
1796-03-01,24.953,2.427,Ahmadabad,India,23.31N,72.52E
1796-04-01,30.297,1.827,Ahmadabad,India,23.31N,72.52E
1796-05-01,33.223,1.496,Ahmadabad,India,23.31N,72.52E
1796-06-01,32.129,2.92,Ahmadabad,India,23.31N,72.52E
1796-07-01,28.651,2.28,Ahmadabad,India,23.31N,72.52E
1796-08-01,27.958,2.843,Ahmadabad,India,23.31N,72.52E
1796-09-01,27.953,3.237,Ahmadabad,India,23.31N,72.52E
1796-10-01,27.285,1.662,Ahmadabad,India,23.31N,72.52E
1796-11-01,23.92,2.867,Ahmadabad,India,23.31N,72.52E
1796-12-01,18.561,3.644,Ahmadabad,India,23.31N,72.52E
1797-01-01,,,Ahmadabad,India,23.31N,72.52E
1797-02-01,,,Ahmadabad,India,23.31N,72.52E
1797-03-01,25.49,2.093,Ahmadabad,India,23.31N,72.52E
1797-04-01,29.465,2.747,Ahmadabad,India,23.31N,72.52E
1797-05-01,32.426,2.128,Ahmadabad,India,23.31N,72.52E
1797-06-01,32.553,2.041,Ahmadabad,India,23.31N,72.52E
1797-07-01,28.604,2.27,Ahmadabad,India,23.31N,72.52E
1797-08-01,27.886,2.067,Ahmadabad,India,23.31N,72.52E
1797-09-01,28.048,2.871,Ahmadabad,India,23.31N,72.52E
1797-10-01,26.889,2.149,Ahmadabad,India,23.31N,72.52E
1797-11-01,22.892,1.938,Ahmadabad,India,23.31N,72.52E
1797-12-01,20.278,2.546,Ahmadabad,India,23.31N,72.52E
1798-01-01,19.869,1.984,Ahmadabad,India,23.31N,72.52E
1798-02-01,21.887,2.01,Ahmadabad,India,23.31N,72.52E
1798-03-01,27.112,1.938,Ahmadabad,India,23.31N,72.52E
1798-04-01,,,Ahmadabad,India,23.31N,72.52E
1798-05-01,,,Ahmadabad,India,23.31N,72.52E
1798-06-01,32.011,2.012,Ahmadabad,India,23.31N,72.52E
1798-07-01,29.727,2.285,Ahmadabad,India,23.31N,72.52E
1798-08-01,28.346,3.863,Ahmadabad,India,23.31N,72.52E
1798-09-01,27.901,2.532,Ahmadabad,India,23.31N,72.52E
1798-10-01,27.031,2.267,Ahmadabad,India,23.31N,72.52E
1798-11-01,24.455,2.477,Ahmadabad,India,23.31N,72.52E
1798-12-01,19.837,2.027,Ahmadabad,India,23.31N,72.52E
1799-01-01,19.234,2.15,Ahmadabad,India,23.31N,72.52E
1799-02-01,20.334,2.407,Ahmadabad,India,23.31N,72.52E
1799-03-01,25.71,2.471,Ahmadabad,India,23.31N,72.52E
1799-04-01,31.135,2.998,Ahmadabad,India,23.31N,72.52E
1799-05-01,33.383,1.528,Ahmadabad,India,23.31N,72.52E
1799-06-01,32.609,2.383,Ahmadabad,India,23.31N,72.52E
1799-07-01,29.077,2.025,Ahmadabad,India,23.31N,72.52E
1799-08-01,27.938,1.374,Ahmadabad,India,23.31N,72.52E
1799-09-01,28.125,2.306,Ahmadabad,India,23.31N,72.52E
1799-10-01,27.819,1.995,Ahmadabad,India,23.31N,72.52E
1799-11-01,24.007,1.758,Ahmadabad,India,23.31N,72.52E
1799-12-01,20.021,1.655,Ahmadabad,India,23.31N,72.52E
1800-01-01,19.64,1.95,Ahmadabad,India,23.31N,72.52E
1800-02-01,22.257,3.349,Ahmadabad,India,23.31N,72.52E
1800-03-01,25.565,2.862,Ahmadabad,India,23.31N,72.52E
1800-04-01,31.534,1.845,Ahmadabad,India,23.31N,72.52E
1800-05-01,32.514,1.495,Ahmadabad,India,23.31N,72.52E
1800-06-01,32.001,1.559,Ahmadabad,India,23.31N,72.52E
1800-07-01,28.305,1.879,Ahmadabad,India,23.31N,72.52E
1800-08-01,27.323,2.127,Ahmadabad,India,23.31N,72.52E
1800-09-01,26.929,2.123,Ahmadabad,India,23.31N,72.52E
1800-10-01,27.542,2.301,Ahmadabad,India,23.31N,72.52E
1800-11-01,24.283,2.507,Ahmadabad,India,23.31N,72.52E
1800-12-01,20.837,1.746,Ahmadabad,India,23.31N,72.52E
1801-01-01,20.017,1.792,Ahmadabad,India,23.31N,72.52E
1801-02-01,21.304,1.635,Ahmadabad,India,23.31N,72.52E
1801-03-01,27.775,2.054,Ahmadabad,India,23.31N,72.52E
1801-04-01,,,Ahmadabad,India,23.31N,72.52E
1801-05-01,,,Ahmadabad,India,23.31N,72.52E
1801-06-01,31.351,1.913,Ahmadabad,India,23.31N,72.52E
1801-07-01,29.121,2.543,Ahmadabad,India,23.31N,72.52E
1801-08-01,27.201,1.669,Ahmadabad,India,23.31N,72.52E
1801-09-01,27.577,1.527,Ahmadabad,India,23.31N,72.52E
1801-10-01,27.213,1.738,Ahmadabad,India,23.31N,72.52E
1801-11-01,24.216,1.781,Ahmadabad,India,23.31N,72.52E
1801-12-01,21.528,3.082,Ahmadabad,India,23.31N,72.52E
1802-01-01,20.535,2.029,Ahmadabad,India,23.31N,72.52E
1802-02-01,22.147,1.877,Ahmadabad,India,23.31N,72.52E
1802-03-01,27.494,2.137,Ahmadabad,India,23.31N,72.52E
1802-04-01,30.849,2.077,Ahmadabad,India,23.31N,72.52E
1802-05-01,32.345,1.896,Ahmadabad,India,23.31N,72.52E
1802-06-01,33.111,1.698,Ahmadabad,India,23.31N,72.52E
1802-07-01,29.572,1.74,Ahmadabad,India,23.31N,72.52E
1802-08-01,27.845,1.579,Ahmadabad,India,23.31N,72.52E
1802-09-01,28.53,1.877,Ahmadabad,India,23.31N,72.52E
1802-10-01,27.782,2.957,Ahmadabad,India,23.31N,72.52E
1802-11-01,23.939,1.986,Ahmadabad,India,23.31N,72.52E
1802-12-01,19.971,1.901,Ahmadabad,India,23.31N,72.52E
1803-01-01,18.037,2.06,Ahmadabad,India,23.31N,72.52E
1803-02-01,20.618,2.717,Ahmadabad,India,23.31N,72.52E
1803-03-01,25.958,2.26,Ahmadabad,India,23.31N,72.52E
1803-04-01,31.401,1.859,Ahmadabad,India,23.31N,72.52E
1803-05-01,33.496,1.669,Ahmadabad,India,23.31N,72.52E
1803-06-01,32.352,1.53,Ahmadabad,India,23.31N,72.52E
1803-07-01,29.666,1.632,Ahmadabad,India,23.31N,72.52E
1803-08-01,29.065,1.824,Ahmadabad,India,23.31N,72.52E
1803-09-01,28.665,1.639,Ahmadabad,India,23.31N,72.52E
1803-10-01,27.513,2.473,Ahmadabad,India,23.31N,72.52E
1803-11-01,24.439,2.224,Ahmadabad,India,23.31N,72.52E
1803-12-01,19.991,2.384,Ahmadabad,India,23.31N,72.52E
1804-01-01,19.881,3.444,Ahmadabad,India,23.31N,72.52E
1804-02-01,21.393,1.927,Ahmadabad,India,23.31N,72.52E
1804-03-01,25.839,3.176,Ahmadabad,India,23.31N,72.52E
1804-04-01,32.254,1.877,Ahmadabad,India,23.31N,72.52E
1804-05-01,33.846,1.737,Ahmadabad,India,23.31N,72.52E
1804-06-01,32.612,1.536,Ahmadabad,India,23.31N,72.52E
1804-07-01,30.436,2.243,Ahmadabad,India,23.31N,72.52E
1804-08-01,28.063,1.708,Ahmadabad,India,23.31N,72.52E
1804-09-01,28.454,2.951,Ahmadabad,India,23.31N,72.52E
1804-10-01,27.342,1.918,Ahmadabad,India,23.31N,72.52E
1804-11-01,25.321,3.168,Ahmadabad,India,23.31N,72.52E
1804-12-01,19.669,3.164,Ahmadabad,India,23.31N,72.52E
1805-01-01,19.761,1.826,Ahmadabad,India,23.31N,72.52E
1805-02-01,21.439,2.302,Ahmadabad,India,23.31N,72.52E
1805-03-01,26.657,1.781,Ahmadabad,India,23.31N,72.52E
1805-04-01,30.157,2.122,Ahmadabad,India,23.31N,72.52E
1805-05-01,33.18,1.37,Ahmadabad,India,23.31N,72.52E
1805-06-01,32.649,2.246,Ahmadabad,India,23.31N,72.52E
1805-07-01,28.907,1.774,Ahmadabad,India,23.31N,72.52E
1805-08-01,28.56,1.365,Ahmadabad,India,23.31N,72.52E
1805-09-01,27.929,2.065,Ahmadabad,India,23.31N,72.52E
1805-10-01,25.967,2.039,Ahmadabad,India,23.31N,72.52E
1805-11-01,23.513,2.571,Ahmadabad,India,23.31N,72.52E
1805-12-01,21.269,1.55,Ahmadabad,India,23.31N,72.52E
1806-01-01,19.702,1.925,Ahmadabad,India,23.31N,72.52E
1806-02-01,21.519,2.471,Ahmadabad,India,23.31N,72.52E
1806-03-01,25.726,2.083,Ahmadabad,India,23.31N,72.52E
1806-04-01,30.465,2.726,Ahmadabad,India,23.31N,72.52E
1806-05-01,33.192,1.767,Ahmadabad,India,23.31N,72.52E
1806-06-01,30.812,1.784,Ahmadabad,India,23.31N,72.52E
1806-07-01,28.727,1.642,Ahmadabad,India,23.31N,72.52E
1806-08-01,28.193,1.727,Ahmadabad,India,23.31N,72.52E
1806-09-01,28.77,1.973,Ahmadabad,India,23.31N,72.52E
1806-10-01,26.883,1.573,Ahmadabad,India,23.31N,72.52E
1806-11-01,24.034,1.862,Ahmadabad,India,23.31N,72.52E
1806-12-01,20.874,2.067,Ahmadabad,India,23.31N,72.52E
1807-01-01,18.445,2.273,Ahmadabad,India,23.31N,72.52E
1807-02-01,21.416,2.927,Ahmadabad,India,23.31N,72.52E
1807-03-01,,,Ahmadabad,India,23.31N,72.52E
1807-04-01,,,Ahmadabad,India,23.31N,72.52E
1807-05-01,31.055,1.71,Ahmadabad,India,23.31N,72.52E
1807-06-01,32.19,1.504,Ahmadabad,India,23.31N,72.52E
1807-07-01,29.279,2.134,Ahmadabad,India,23.31N,72.52E
1807-08-01,27.708,1.89,Ahmadabad,India,23.31N,72.52E
1807-09-01,28.481,1.583,Ahmadabad,India,23.31N,72.52E
1807-10-01,26.836,1.537,Ahmadabad,India,23.31N,72.52E
1807-11-01,24.087,2.225,Ahmadabad,India,23.31N,72.52E
1807-12-01,21.5,1.738,Ahmadabad,India,23.31N,72.52E
1808-01-01,,,Ahmadabad,India,23.31N,72.52E
1808-02-01,,,Ahmadabad,India,23.31N,72.52E
1808-03-01,,,Ahmadabad,India,23.31N,72.52E
1808-04-01,,,Ahmadabad,India,23.31N,72.52E
1808-05-01,,,Ahmadabad,India,23.31N,72.52E
1808-06-01,,,Ahmadabad,India,23.31N,72.52E
1808-07-01,,,Ahmadabad,India,23.31N,72.52E
1808-08-01,,,Ahmadabad,India,23.31N,72.52E
1808-09-01,,,Ahmadabad,India,23.31N,72.52E
1808-10-01,,,Ahmadabad,India,23.31N,72.52E
1808-11-01,,,Ahmadabad,India,23.31N,72.52E
1808-12-01,,,Ahmadabad,India,23.31N,72.52E
1809-01-01,,,Ahmadabad,India,23.31N,72.52E
1809-02-01,,,Ahmadabad,India,23.31N,72.52E
1809-03-01,,,Ahmadabad,India,23.31N,72.52E
1809-04-01,,,Ahmadabad,India,23.31N,72.52E
1809-05-01,,,Ahmadabad,India,23.31N,72.52E
1809-06-01,,,Ahmadabad,India,23.31N,72.52E
1809-07-01,,,Ahmadabad,India,23.31N,72.52E
1809-08-01,,,Ahmadabad,India,23.31N,72.52E
1809-09-01,,,Ahmadabad,India,23.31N,72.52E
1809-10-01,,,Ahmadabad,India,23.31N,72.52E
1809-11-01,,,Ahmadabad,India,23.31N,72.52E
1809-12-01,,,Ahmadabad,India,23.31N,72.52E
1810-01-01,,,Ahmadabad,India,23.31N,72.52E
1810-02-01,,,Ahmadabad,India,23.31N,72.52E
1810-03-01,,,Ahmadabad,India,23.31N,72.52E
1810-04-01,,,Ahmadabad,India,23.31N,72.52E
1810-05-01,,,Ahmadabad,India,23.31N,72.52E
1810-06-01,,,Ahmadabad,India,23.31N,72.52E
1810-07-01,,,Ahmadabad,India,23.31N,72.52E
1810-08-01,,,Ahmadabad,India,23.31N,72.52E
1810-09-01,,,Ahmadabad,India,23.31N,72.52E
1810-10-01,,,Ahmadabad,India,23.31N,72.52E
1810-11-01,,,Ahmadabad,India,23.31N,72.52E
1810-12-01,,,Ahmadabad,India,23.31N,72.52E
1811-01-01,,,Ahmadabad,India,23.31N,72.52E
1811-02-01,,,Ahmadabad,India,23.31N,72.52E
1811-03-01,,,Ahmadabad,India,23.31N,72.52E
1811-04-01,,,Ahmadabad,India,23.31N,72.52E
1811-05-01,,,Ahmadabad,India,23.31N,72.52E
1811-06-01,,,Ahmadabad,India,23.31N,72.52E
1811-07-01,,,Ahmadabad,India,23.31N,72.52E
1811-08-01,,,Ahmadabad,India,23.31N,72.52E
1811-09-01,,,Ahmadabad,India,23.31N,72.52E
1811-10-01,,,Ahmadabad,India,23.31N,72.52E
1811-11-01,,,Ahmadabad,India,23.31N,72.52E
1811-12-01,,,Ahmadabad,India,23.31N,72.52E
1812-01-01,,,Ahmadabad,India,23.31N,72.52E
1812-02-01,,,Ahmadabad,India,23.31N,72.52E
1812-03-01,,,Ahmadabad,India,23.31N,72.52E
1812-04-01,,,Ahmadabad,India,23.31N,72.52E
1812-05-01,,,Ahmadabad,India,23.31N,72.52E
1812-06-01,,,Ahmadabad,India,23.31N,72.52E
1812-07-01,,,Ahmadabad,India,23.31N,72.52E
1812-08-01,,,Ahmadabad,India,23.31N,72.52E
1812-09-01,,,Ahmadabad,India,23.31N,72.52E
1812-10-01,,,Ahmadabad,India,23.31N,72.52E
1812-11-01,,,Ahmadabad,India,23.31N,72.52E
1812-12-01,,,Ahmadabad,India,23.31N,72.52E
1813-01-01,16.792,2.809,Ahmadabad,India,23.31N,72.52E
1813-02-01,20.915,1.742,Ahmadabad,India,23.31N,72.52E
1813-03-01,23.905,5.19,Ahmadabad,India,23.31N,72.52E
1813-04-01,30.955,1.661,Ahmadabad,India,23.31N,72.52E
1813-05-01,33.739,4.41,Ahmadabad,India,23.31N,72.52E
1813-06-01,31.138,2.267,Ahmadabad,India,23.31N,72.52E
1813-07-01,28.719,1.831,Ahmadabad,India,23.31N,72.52E
1813-08-01,26.616,1.346,Ahmadabad,India,23.31N,72.52E
1813-09-01,27.864,1.721,Ahmadabad,India,23.31N,72.52E
1813-10-01,26.4,1.599,Ahmadabad,India,23.31N,72.52E
1813-11-01,24.942,1.639,Ahmadabad,India,23.31N,72.52E
1813-12-01,19.029,1.809,Ahmadabad,India,23.31N,72.52E
1814-01-01,17.984,2.878,Ahmadabad,India,23.31N,72.52E
1814-02-01,21.064,1.67,Ahmadabad,India,23.31N,72.52E
1814-03-01,24.876,2.154,Ahmadabad,India,23.31N,72.52E
1814-04-01,29.557,1.688,Ahmadabad,India,23.31N,72.52E
1814-05-01,,,Ahmadabad,India,23.31N,72.52E
1814-06-01,31.618,1.778,Ahmadabad,India,23.31N,72.52E
1814-07-01,27.127,2.62,Ahmadabad,India,23.31N,72.52E
1814-08-01,26.57,1.571,Ahmadabad,India,23.31N,72.52E
1814-09-01,26.568,1.477,Ahmadabad,India,23.31N,72.52E
1814-10-01,25.654,3.134,Ahmadabad,India,23.31N,72.52E
1814-11-01,24.837,4.294,Ahmadabad,India,23.31N,72.52E
1814-12-01,21.967,4.634,Ahmadabad,India,23.31N,72.52E
1815-01-01,18.574,2.298,Ahmadabad,India,23.31N,72.52E
1815-02-01,21.592,4.42,Ahmadabad,India,23.31N,72.52E
1815-03-01,24.879,3.176,Ahmadabad,India,23.31N,72.52E
1815-04-01,30.206,2.689,Ahmadabad,India,23.31N,72.52E
1815-05-01,32.262,2.902,Ahmadabad,India,23.31N,72.52E
1815-06-01,29.289,1.796,Ahmadabad,India,23.31N,72.52E
1815-07-01,28.275,2.45,Ahmadabad,India,23.31N,72.52E
1815-08-01,26.857,1.705,Ahmadabad,India,23.31N,72.52E
1815-09-01,27.126,1.466,Ahmadabad,India,23.31N,72.52E
1815-10-01,25.24,2.713,Ahmadabad,India,23.31N,72.52E
1815-11-01,22.573,2.191,Ahmadabad,India,23.31N,72.52E
1815-12-01,18.522,2.069,Ahmadabad,India,23.31N,72.52E
1816-01-01,19.099,3.862,Ahmadabad,India,23.31N,72.52E
1816-02-01,18.656,2.184,Ahmadabad,India,23.31N,72.52E
1816-03-01,24.87,1.954,Ahmadabad,India,23.31N,72.52E
1816-04-01,29.427,3.417,Ahmadabad,India,23.31N,72.52E
1816-05-01,32.624,1.992,Ahmadabad,India,23.31N,72.52E
1816-06-01,30.632,2.002,Ahmadabad,India,23.31N,72.52E
1816-07-01,26.727,1.774,Ahmadabad,India,23.31N,72.52E
1816-08-01,26.131,1.234,Ahmadabad,India,23.31N,72.52E
1816-09-01,26.051,1.294,Ahmadabad,India,23.31N,72.52E
1816-10-01,24.289,4.793,Ahmadabad,India,23.31N,72.52E
1816-11-01,22.68,5.498,Ahmadabad,India,23.31N,72.52E
1816-12-01,18.993,1.792,Ahmadabad,India,23.31N,72.52E
1817-01-01,18.439,3.923,Ahmadabad,India,23.31N,72.52E
1817-02-01,21.72,2.481,Ahmadabad,India,23.31N,72.52E
1817-03-01,25.569,2.095,Ahmadabad,India,23.31N,72.52E
1817-04-01,30.113,1.953,Ahmadabad,India,23.31N,72.52E
1817-05-01,31.448,2.074,Ahmadabad,India,23.31N,72.52E
1817-06-01,29.809,1.723,Ahmadabad,India,23.31N,72.52E
1817-07-01,27.227,1.764,Ahmadabad,India,23.31N,72.52E
1817-08-01,27.089,1.715,Ahmadabad,India,23.31N,72.52E
1817-09-01,25.075,2.295,Ahmadabad,India,23.31N,72.52E
1817-10-01,24.849,2.496,Ahmadabad,India,23.31N,72.52E
1817-11-01,23.037,2.258,Ahmadabad,India,23.31N,72.52E
1817-12-01,18.356,2.592,Ahmadabad,India,23.31N,72.52E
1818-01-01,18.631,2.984,Ahmadabad,India,23.31N,72.52E
1818-02-01,20.247,2.023,Ahmadabad,India,23.31N,72.52E
1818-03-01,26.226,1.935,Ahmadabad,India,23.31N,72.52E
1818-04-01,31.36,4.505,Ahmadabad,India,23.31N,72.52E
1818-05-01,33.265,2.704,Ahmadabad,India,23.31N,72.52E
1818-06-01,31.968,3.441,Ahmadabad,India,23.31N,72.52E
